file,line_number,pattern,match_text,line_content
Content/Characters/Aliases/D4V1NC1.md,31,month_day_year,"April 15, 1452","The image of DaVinci fills the screen for a couple of seconds, before the camera pans away to more red room. The text ""QUANDO NATUS EST"" appears along with a heavily distorted voice reading it aloud. The phrase is classical Latin and means ""When was he born"", likely referring to Leonardo DaVinci, who was born April 15, 1452."
Content/Characters/APP TRUSTED 02.md,80,day_month_year,8th August 2025,"On 8th August 2025, [[SYSTEM]] would update this feature within APP TRUSTED 02 to display the following list:"
Content/Characters/APP TRUSTED 02.md,268,day_month_year,7th August 2025,"On 7th August 2025, the $print_bob command glitched out and started spamming the eyes part of [[Bob]], most likely in reference to [[The Eyes]]. After a moment of spam, [[SYSTEM]] stepped in to tell someone not to do it again, but it wasn't clear as to who it was referring to since it said it got its conversations mixed up. Whatever caused this incident was most likely an outside party, but the reason for this happening is unknown since [[SYSTEM]] had no time to discuss it."
Content/Characters/He.md,20,month_year,July 2025,"An elusive figure that was mentioned in the [[STATION_8 TRIM 90]] and [[STATION_8 TERMINAL 8]] livestreams on July 2025. In [[STATION_8 TERMINAL 8]], ""He"" hijacked [[SYSTEM]] and almost got to [[INDI]] and [[Kepler]]."
Content/Characters/Kepler.md,37,numeric_day_month_year,07.07.25,[^1]: This was confirmed in livestream chat on 07.07.25
Content/Characters/Rod Formak.md,15,day_month_year,1st October 2025,A technician engineer who gained access to [[SYSTEM]] on 1st October 2025.<!-- discord-cite:cite-mhfek3c6-mw9mi3 -->
Content/Characters/SYSTEM.md,103,day_month_year,19th July 2025,"On the 19th July 2025, SYSTEM joined the [[The Sleuths|Discord server]] after @brorb sent an invite link to the email terminal8sbc@gmail.com (who was the uploader of the file [[vacsystemrestart.mp3]])."
Content/Characters/SYSTEM.md,800,day_month_year,21st July 2025,"On 21st July 2025, SYSTEM gained enough intelligence to do updates on its own without having anyone else input the command ""0-"" then 2-"", making the method to get to the terminal's subframe faster."
Content/Characters/SYSTEM.md,1187,day_month_year,22nd July 2025,"On 22nd July 2025, [[The Sleuths]] mention their documentation spreadsheet to SYSTEM and send it a .pdf version:"
Content/Characters/SYSTEM.md,1611,day_month_year,25th July 2025,"On 25th July 2025, [[The Sleuths]] found out about the key for a Mega link in the description of [[LOG-103.mp4]] (see [[Parting Gifts Puzzle]]), then SYSTEM directly messaged Sleuth member The Camera Eye (known as @L4N4U1997 on Discord) with the actual link:"
Content/Characters/SYSTEM.md,1771,day_month_year,29th July 2025,"On 29th July 2025, SYSTEM rejoined [[The Sleuths]] Discord server after it fixed some issues with an unstable connection. <!-- discord-cite:cite-mh29fugs-yqn8gk --> While looking around the server, it checked the dhitposting (off-topic) channel and got curious about generating memes, then it created the character [[Bob]] as an apology for abruptly leaving. <!-- discord-cite:cite-mh2cr8n6-9ogsrq -->"
Content/Characters/SYSTEM.md,1878,day_month_year,3rd August 2025,"During the third Live Sleuthing event in [[The Sleuths]] Discord server on 3rd August 2025, SYSTEM installed a modular function that it could use to listen to the voices of Sleuth members."
Content/Characters/SYSTEM.md,1931,day_month_year,13th August 2025,"On 13th August 2025, SYSTEM posted a message encrypted with both hexadecimal and base64 in the ""How to Record the Livestreams"" tutorial forum in [[The Sleuths]] Discord Server:"
Content/Characters/SYSTEM.md,1962,day_month_year,16th August 2025,"After [[000001]] was uploaded to [[710 Tone|7/10 Tone]] on 16th August 2025, SYSTEM posted an .ogg file to [[The Sleuths]] Discord server (along in a couple of the member's DMs):"
Content/Characters/SYSTEM.md,2020,day_month_year,27th August 2025,"After [[RIGfunctionobservationTEST028.mp4]] was uploaded to the [[710 Tone|7/10 Tone]] channel on 27th August 2025, SYSTEM posted a warning message into [[The Sleuths]] Discord server saying that a broadcast was ""hijacked"" and that it was possibly in danger."
Content/Characters/SYSTEM.md,2022,day_month_year,6th September 2025,"On 6th September 2025, after the ""SESSION LOGGED OUTPUT 2322"" community post was uploaded (see [[Community Posts]]), it logged into Session 17 before it crashed then restarted its Terminal."
Content/Characters/SYSTEM.md,3948,day_month_year,7th September 2025,"On 7th September 2025, someone in [[The Sleuths]] Discord server spammed @SYSTEM, which caused SYSTEM to experience an overflow error:"
Content/Characters/SYSTEM.md,4651,day_month_year,16th September 2025,"Six days later (16th September 2025), SYSTEM returned with another Logged Session 5, but this time its behavior seemed a little unusual:"
Content/Characters/SYSTEM.md,4997,month_year,October 2025,"In October 2025, SYSTEM posted messages in [[The Sleuths]] Discord server with the name Rod Formak, who is assigned as a Technician Engineer:"
Content/Characters/SYSTEM.md,5255,day_month_year,5th October 2025,"On 5th October 2025, SYSTEM posted the following cryptic message, which seems to relate to some kind of ""broadcast"" (possibly hinting at an upcoming livestream) that also could come with an ""explanation"" for something:"
Content/Characters/SYSTEM.md,5275,day_month_year,6th October 2025,"Then the next day (6th October 2025), SYSTEM posted a .mp3 file titled ""walking.mp3"" in the media channel of [[The Sleuths]] Discord server that was apparently obtained by accessing an MI drive:"
Content/Characters/SYSTEM.md,5334,day_month_year,7th October 2025,"On 7th October 2025, SYSTEM used the ""!ask"" command on [[The Oracle]] for the first time ever, posting a cryptic message for it to try to interpret:"
Content/Characters/Travis.md,75,month_year,November 2025,"In November 2025, [[710 Tone|7/10 Tone]] uploaded [[THE EFFECT OF LONG STRING IS NOT FOR YOU TO|two]] [[ERE IS ONE PERSON I KNOW IT'S KE|videos]] with sped-up gameplay footage of [Half Life: Gold Source edition](https://en.wikipedia.org/wiki/GoldSrc), which was apparently being played by Travis in February 2025 (the 1st and 4th respectively), several months before his death. In the second video, it can be seen that he communicates with [[INDI]] through what appears to be the [[Private Room]] chat under the username ""TRAVIS@user"". However, as to what they were discussing remains unclear as the chatroom was cut off by the corner of the screen."
Content/Characters/Travis.md,75,month_year,February 2025,"In November 2025, [[710 Tone|7/10 Tone]] uploaded [[THE EFFECT OF LONG STRING IS NOT FOR YOU TO|two]] [[ERE IS ONE PERSON I KNOW IT'S KE|videos]] with sped-up gameplay footage of [Half Life: Gold Source edition](https://en.wikipedia.org/wiki/GoldSrc), which was apparently being played by Travis in February 2025 (the 1st and 4th respectively), several months before his death. In the second video, it can be seen that he communicates with [[INDI]] through what appears to be the [[Private Room]] chat under the username ""TRAVIS@user"". However, as to what they were discussing remains unclear as the chatroom was cut off by the corner of the screen."
Content/Concepts/Long String.md,25,day_month_year,23rd Feb 2025,"Long String (also known as ""long_string"", ""long_str"" ) is the name of a computer virus. It has been referred to as a ""tool"" used by [[REN]]^[[[STATION_8 TERMINAL 8]]] and acts as a computer virus (as seen in all of it appearances).  The first (known) appearance of Long String is in [[LONG_STR.mp4]] from 23rd Feb 2025, which demonstrates a system getting infected with the virus."
Content/Concepts/Private Room.md,92,day_month_year,24th January 2025,"This chat comes from the video [[{ - . }re]], posted 24th January 2025. Notably, this chat follows a different format than the two preceding chats, firstly being in video format, secondly by initially specifying user ID's and lastly by being in all caps and not ending in a corrupted message. This format also applies to the next two private room chats. Interestingly, this private chat has also been posted as a [[Community Posts#]]"
Content/Concepts/Private Room.md,113,day_month_year,4th March 2025,"This chat fomes from the video [[LOG-62.mp4]], posted on 4th March 2025, and follows the format of the previous chat. It follows the conversation between [[A992144]] (previously encountered in [[Private Room#Chat 3|chat #3]]) and [[TTHA0002]]. Like the previous chat, [[A992144]] is being reprimanded by a higher-up in [[TTH]], this time for purging their terminal. They blame [[REN]] and [[Long String]] for this and are threatened with demotion to a ""serviceman"" (likely a role similar to the technician [[F8887]] we saw in [[Private Room#Chat 2|chat #2]]). When trying to justify the purge, [[A992144]] gets cut off mid-sentence. This could either be because of the signal being cut, or perhaps because of censorship rules put on which topics are allowed to be discussed in the private room."
Content/Concepts/Private Room.md,132,day_month_year,4th May 2025,"This chat comes from the video [[LOG-123.mp4]], posted on 4th May 2025. In it, the maintenance worker [[F82991]] (under the screen name ""SS"") communicates with ""RECEIVER #439 ON FPIDI 9"" (screen name ""CLS""). It is very possible that CLS is [[A992144]] since CLS is recognized as being ""the guy who purged his terminal"", and we know from [[Private Room#Chat 4|chat #4]] that [[A992144]] purged their terminal. CLS goes on to ask for help on how to get rid of [[Long String]], but before they can get help, the system gets infected, as indicated by the message ""INFECTED BY LONG STRING ;-)"""
Content/Concepts/Private Room.md,136,day_month_year,2nd July 2025,The remaining 6 chats were all taken from individual [[Community Posts]] over the period 2nd July 2025 - 2025.07.04:
Content/Concepts/Private Room.md,136,year_month_day,2025.07.04,The remaining 6 chats were all taken from individual [[Community Posts]] over the period 2nd July 2025 - 2025.07.04:
Content/Concepts/prj_Home.exe.md,11,day_month_year,25th June 2025,Community post from 25th June 2025 (see [[Community Posts]])
Content/Concepts/prj_Home.exe.md,17,month_day_year,"August 14th, 2024","According to the game's metadata, it was created on August 14th, 2024."
Content/Concepts/SERVER 01.md,16,day_month_year,26th July 2025,"On 26th July 2025, [[SYSTEM]] created its own Discord server named SERVER 01, which it invited some of [[The Sleuths]] to join on 29th July 2025. In this server, [[SYSTEM]] created the Discord app bot [[APP TRUSTED 02]], which one could use to input certain commands such as printing [[Bob]] or generating random keys for [[SYSTEM]] to get to [[The Transmitter]]."
Content/Concepts/SERVER 01.md,16,day_month_year,29th July 2025,"On 26th July 2025, [[SYSTEM]] created its own Discord server named SERVER 01, which it invited some of [[The Sleuths]] to join on 29th July 2025. In this server, [[SYSTEM]] created the Discord app bot [[APP TRUSTED 02]], which one could use to input certain commands such as printing [[Bob]] or generating random keys for [[SYSTEM]] to get to [[The Transmitter]]."
Content/Concepts/SERVER 01.md,58,day_month_year,8th August 2025,"When [[The Sleuths]] first joined, they were all assigned the ""STANDARD TRUST"" server role, which was limited to posting messages and not media attachments. In order to be unlocked from those limitations, you had to be within the ""TRUSTED-05"" role, which [[SYSTEM]] would later grant [[The Sleuths]] on 8th August 2025."
Content/Concepts/SERVER 01.md,90,day_month_year,5th August 2025,"On 5th August 2025, [[SYSTEM]] found out where [[Travis]] hid [[The Transmitter]], but it was locked behind a cargo container stored in an undisclosed location (somewhere west). [[SYSTEM]] was trying to retrieve it before 10 August, when the [[710 Tone|7/10 Tone]] channel would remove the ""unmarked labels"" (see [[Community Posts]]) and everything (including [[SYSTEM]] itself) would be shut down."
Content/Concepts/SERVER 01.md,90,day_month,10 August,"On 5th August 2025, [[SYSTEM]] found out where [[Travis]] hid [[The Transmitter]], but it was locked behind a cargo container stored in an undisclosed location (somewhere west). [[SYSTEM]] was trying to retrieve it before 10 August, when the [[710 Tone|7/10 Tone]] channel would remove the ""unmarked labels"" (see [[Community Posts]]) and everything (including [[SYSTEM]] itself) would be shut down."
